"","tip","cites","vcites"
"676","Myotis_levis",5,0
"677","Myotis_longipes",0,0
"678","Myotis_lucifugus",381,29
"679","Myotis_macrodactylus",12,3
"680","Myotis_macropus",2,1
"681","Myotis_macrotarsus",0,0
"682","Myotis_martiniquensis",0,0
"683","Myotis_melanorhinus",0,0
"684","Myotis_midastactus",1,0
"685","Myotis_moluccarum",0,0
"686","Myotis_montivagus",1,0
"687","Myotis_morrisi",0,0
"688","Myotis_muricola",1,0
"689","Myotis_myotis",224,26
"690","Myotis_mystacinus",20,1
"691","Myotis_nattereri",49,14
"692","Myotis_nesopolus",1,0
"693","Myotis_nigricans",30,4
"694","Myotis_nipalensis",0,0
"695","Myotis_occultus",1,1
"696","Myotis_oreias",0,0
"697","Myotis_oxyotus",2,0
"698","Myotis_peninsularis",0,0
"699","Myotis_pequinius",4,2
"700","Myotis_petax",8,3
"701","Myotis_phanluongi",0,0
"702","Myotis_pilosus",2,0
"703","Myotis_planiceps",0,0
"704","Myotis_pruinosus",2,0
"705","Myotis_punicus",2,0
"706","Myotis_ridleyi",0,0
"707","Myotis_riparius",7,1
"708","Myotis_rosseti",0,0
"709","Myotis_ruber",2,0
"710","Myotis_rufopictus",0,0
"711","Myotis_schaubi",0,0
"712","Myotis_scotti",0,0
"713","Myotis_secundus",0,0
"714","Myotis_septentrionalis",21,0
"715","Myotis_sicarius",0,0
"716","Myotis_siligorensis",2,0
"717","Myotis_simus",2,0
"718","Myotis_sodalis",18,0
"719","Myotis_soror",0,0
"720","Myotis_stalkeri",0,0
"721","Myotis_thysanodes",9,1
"722","Myotis_tricolor",3,0
"723","Myotis_velifer",27,3
"724","Myotis_vivesi",9,0
"725","Myotis_volans",8,2
"726","Myotis_welwitschii",0,0
"727","Myotis_yanbarensis",1,0
"728","Myotis_yumanensis",9,0
"729","Mystacina_robusta",0,0
"730","Mystacina_tuberculata",18,3
"731","Myzopoda_aurita",1,0
"732","Myzopoda_schliemanni",0,0
"733","Nanonycteris_veldkampii",1,1
"734","Natalus_espiritosantensis",0,0
"735","Natalus_jamaicensis",0,0
"736","Natalus_lanatus",0,0
"737","Natalus_major",0,0
"738","Natalus_mexicanus",1,0
"739","Natalus_primus",0,0
"740","Natalus_saturatus",0,0
"741","Natalus_stramineus",4,1
"742","Natalus_tumidirostris",2,0
"743","Neonycteris_pusilla",0,0
"744","Neopteryx_frosti",0,0
"745","Neoromicia_brunnea",0,0
"746","Neoromicia_capensis",5,4
"747","Neoromicia_flavescens",0,0
"748","Neoromicia_guineensis",0,0
"749","Neoromicia_helios",0,0
"750","Neoromicia_malagasyensis",0,0
"751","Neoromicia_matroka",1,0
"752","Neoromicia_melckorum",0,0
"753","Neoromicia_nana",5,1
"754","Neoromicia_rendalli",1,0
