"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","seed","id","id2"
"132",132,0.979012345679012,0.854041233351578,0.955665024630542,0.518518518518518,574,25000,4,0.01,2,"25000 4 0.01","14"
"133",133,0.964063591893781,0.894727239554826,0.935960591133005,0.62962962962963,389,25000,4,0.01,3,"25000 4 0.01","14"
"134",134,0.957058001397624,0.94280240831965,0.970443349753695,0.611111111111111,380,25000,4,0.01,4,"25000 4 0.01","14"
"135",135,0.977084789191707,0.912333515781792,0.950738916256158,0.481481481481481,625,25000,4,0.01,5,"25000 4 0.01","14"
"136",136,0.972030048916841,0.882959313993797,0.96551724137931,0.592592592592593,506,25000,4,0.01,6,"25000 4 0.01","14"
"137",137,0.959911483810855,0.936781609195402,0.975369458128079,0.648148148148148,403,25000,4,0.01,7,"25000 4 0.01","14"
"138",138,0.97353249475891,0.894909688013136,0.950738916256158,0.574074074074074,505,25000,4,0.01,8,"25000 4 0.01","14"
"139",139,0.972123223852783,0.914066776135742,0.96551724137931,0.555555555555556,544,25000,4,0.01,9,"25000 4 0.01","14"
"140",140,0.967266480316795,0.917989417989418,0.96551724137931,0.648148148148148,494,25000,4,0.01,10,"25000 4 0.01","14"
"141",141,0.972449336128581,0.903484765553731,0.975369458128079,0.555555555555556,10524,25000,4,5e-04,1,"25000 4 5e-04","15"
"142",142,0.978121360354065,0.854041233351578,0.955665024630542,0.537037037037037,10868,25000,4,5e-04,2,"25000 4 5e-04","15"
"143",143,0.968163289075239,0.891534391534392,0.940886699507389,0.62962962962963,8919,25000,4,5e-04,3,"25000 4 5e-04","15"
"144",144,0.961035406475658,0.944079547527823,0.975369458128079,0.62962962962963,8475,25000,4,5e-04,4,"25000 4 5e-04","15"
"145",145,0.973835313300722,0.913884327677431,0.955665024630542,0.481481481481481,11087,25000,4,5e-04,5,"25000 4 5e-04","15"
"146",146,0.969834614488702,0.885057471264368,0.960591133004926,0.574074074074074,8949,25000,4,5e-04,6,"25000 4 5e-04","15"
"147",147,0.959963894712322,0.937511403028644,0.975369458128079,0.62962962962963,8032,25000,4,5e-04,7,"25000 4 5e-04","15"
"148",148,0.973218029350105,0.893358876117497,0.950738916256158,0.574074074074074,10155,25000,4,5e-04,8,"25000 4 5e-04","15"
"149",149,0.975704635453063,0.912607188469257,0.96551724137931,0.537037037037037,11936,25000,4,5e-04,9,"25000 4 5e-04","15"
"150",150,0.970283018867925,0.914979018427294,0.960591133004926,0.648148148148148,10942,25000,4,5e-04,10,"25000 4 5e-04","15"
"151",151,0.960062893081761,0.901021711366539,0.96551724137931,0.555555555555556,772,5000,2,0.01,1,"5000 2 0.01","16"
"152",152,0.970125786163522,0.855318372559752,0.960591133004926,0.518518518518518,839,5000,2,0.01,2,"5000 2 0.01","16"
"153",153,0.95917773119031,0.89463601532567,0.945812807881773,0.62962962962963,680,5000,2,0.01,3,"5000 2 0.01","16"
"154",154,0.947938504542278,0.941160372194855,0.975369458128079,0.592592592592593,571,5000,2,0.01,4,"5000 2 0.01","16"
"155",155,0.962264150943396,0.914522897281518,0.955665024630542,0.5,793,5000,2,0.01,5,"5000 2 0.01","16"
"156",156,0.959288376426741,0.883415435139573,0.960591133004926,0.574074074074074,671,5000,2,0.01,6,"5000 2 0.01","16"
"157",157,0.94333799208013,0.938332421091042,0.970443349753695,0.648148148148148,503,5000,2,0.01,7,"5000 2 0.01","16"
"158",158,0.960587002096436,0.894088669950739,0.950738916256158,0.648148148148148,715,5000,2,0.01,8,"5000 2 0.01","16"
"159",159,0.973911017936175,0.90658638934501,0.96551724137931,0.537037037037037,1177,5000,2,0.01,9,"5000 2 0.01","16"
"160",160,0.96301537386443,0.91178617040686,0.955665024630542,0.666666666666667,918,5000,2,0.01,10,"5000 2 0.01","16"
"161",161,0.967505241090147,0.900839262908228,0.960591133004926,0.555555555555556,612,5000,3,0.01,1,"5000 3 0.01","17"
"162",162,0.97240274866061,0.854679802955665,0.96551724137931,0.555555555555556,575,5000,3,0.01,2,"5000 3 0.01","17"
"163",163,0.96743535988819,0.892993979200876,0.945812807881773,0.611111111111111,569,5000,3,0.01,3,"5000 3 0.01","17"
"164",164,0.953188329839273,0.941981390257252,0.975369458128079,0.592592592592593,445,5000,3,0.01,4,"5000 3 0.01","17"
"165",165,0.972408572094107,0.911694946177705,0.950738916256158,0.481481481481481,705,5000,3,0.01,5,"5000 3 0.01","17"
"166",166,0.969042627533194,0.886790731618318,0.970443349753695,0.574074074074074,588,5000,3,0.01,6,"5000 3 0.01","17"
"167",167,0.954414162590263,0.937693851486955,0.970443349753695,0.648148148148148,443,5000,3,0.01,7,"5000 3 0.01","17"
"168",168,0.964069415327277,0.89463601532567,0.950738916256158,0.611111111111111,506,5000,3,0.01,8,"5000 3 0.01","17"
"169",169,0.976601444211507,0.910782703886152,0.96551724137931,0.555555555555556,816,5000,3,0.01,9,"5000 3 0.01","17"
"170",170,0.974755415793152,0.910600255427842,0.955665024630542,0.648148148148148,864,5000,3,0.01,10,"5000 3 0.01","17"
"171",171,0.969310505474028,0.900930487137384,0.96551724137931,0.555555555555556,466,5000,4,0.01,1,"5000 4 0.01","18"
"172",172,0.978878406708595,0.853676336434957,0.955665024630542,0.537037037037037,574,5000,4,0.01,2,"5000 4 0.01","18"
"173",173,0.96417714884696,0.890257252326218,0.935960591133005,0.62962962962963,389,5000,4,0.01,3,"5000 4 0.01","18"
"174",174,0.956589215001165,0.941434044882321,0.970443349753695,0.611111111111111,380,5000,4,0.01,4,"5000 4 0.01","18"
"175",175,0.977655485674354,0.90831964969896,0.955665024630542,0.481481481481481,625,5000,4,0.01,5,"5000 4 0.01","18"
"176",176,0.974033310039599,0.883324210910418,0.96551724137931,0.592592592592593,506,5000,4,0.01,6,"5000 4 0.01","18"
"177",177,0.960837409736781,0.937967524174421,0.970443349753695,0.648148148148148,403,5000,4,0.01,7,"5000 4 0.01","18"
"178",178,0.973346144887025,0.890622149242839,0.950738916256158,0.592592592592593,505,5000,4,0.01,8,"5000 4 0.01","18"
"179",179,0.972321220591661,0.911147600802773,0.96551724137931,0.518518518518518,544,5000,4,0.01,9,"5000 4 0.01","18"
"180",180,0.967400419287212,0.915435139573071,0.960591133004926,0.648148148148148,494,5000,4,0.01,10,"5000 4 0.01","18"
