Species_Name,tiplabel,gen,fam,ord,clade,higher,MSW3_sciName_matched,genes,extinct.,samp,PC,Order,Family,BM,BR,Diet,WA,LS,AspectRatio,Synurbic,UrbanStatus
Chaerephon_bregullae,Chaerephon_bregullae_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_bregullae,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_chapini,Chaerephon_chapini_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_chapini,1,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_gallagheri,Chaerephon_gallagheri_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_gallagheri,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_jobensis,Chaerephon_jobensis_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_jobensis,1,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_johorensis,Chaerephon_johorensis_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_johorensis,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_major,Chaerephon_major_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_major,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_nigeriae,Chaerephon_nigeriae_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_nigeriae,2,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_plicatus,Chaerephon_plicatus_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_plicatus,4,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_pumilus,Chaerephon_pumilus_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_pumilus,5,0,sampled,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaerephon_russatus,Chaerephon_russatus_MOLOSSIDAE_CHIROPTERA,Chaerephon,MOLOSSIDAE,CHIROPTERA,Yangochiroptera,Laurasiatheria,Chaerephon_russatus,0,0,imputed,PC17_VespertilionidRelated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
